label,description,slug,airtableId,tags,created,updated,synced
Abrasives and Nonmetallic Minerals Manufacturing,"This industry includes entities that manufacture nonmetallic mineral products (except clay products, refractory products, glass products, cement and concrete products, lime, and gypsum products).",abrasives-and-nonmetallic-minerals-manufacturing,recZLVJsjcZO2MPSQ,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Accomodation & Hospitality,,accomodation-hospitality,recLVjVWSpiJqOJYQ,,2023-02-24 10:28:27,2023-02-24 10:28:27,
Accounting,"This industry includes entities that make accounting record audits, design accounting systems, prepare financial statements, develop budgets, prepare tax returns, process payroll, and perform bookkeeping and billing.",accounting,recZWVaNpaABgER7B,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Administration,,administration,recVR5dfjnU1JIf9v,,2023-02-24 10:28:27,2023-02-24 10:28:27,
Administration of Justice,,administration-of-justice,recaSGAx73aUzVMw9,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Administrative and Support Services,,administrative-and-support,recUA7Cul6dg5DgP3,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Advertising,,advertising,recF7NOK7R6g3BEgX,,2023-02-16 15:33:40,,
Agricultural Chemical Manufacturing,"This industry includes entities that manufacture:
1. Nitrogenous or phosphatic fertilizer materials with or without mixing with other ingredients into fertilizers
2. Mixing ingredients made elsewhere into fertilizers
3. Fertilizers from sewage or animal waste. Included are entities that formulate and prepare pesticides and other agricultural chemicals.",agricultural-chemical-manufacturing,recbMlZcdC1rv2fPf,,2023-02-27 08:39:16,2023-02-27 08:39:16,
"Agriculture, Construction, Mining Machinery Manufacturing","This industry includes entities that manufacture one or more of the following:
1. Farm machinery and equipment, power mowing equipment, and other powered home lawn and garden equipment
2. Construction machinery, surface mining machinery, and logging equipment
3. Oil and gas field and underground mining machinery and equipment.",agriculture-construction-mining-machinery-manufacturing,recOCcgQ1tuMqHANk,,2023-02-27 08:39:16,2023-02-27 08:39:16,
"Air, Water, and Waste Program Management","This industry includes government entities that focus on administration, regulation, or enforcement of programs related to one or more of the following:
1. Air and water resources
3. Solid waste management
2. Water and air pollution control and prevention
4. Flood control
5. Drainage development and water resource consumption
6. Toxic waste removal and cleanup; and/or coordination of these activities at intergovernmental levels.",air-water-and-waste-program-management,recpsKwcjoEWVLTeD,,2023-02-16 15:33:40,,
Airlines and Aviation,"This industry includes entities that provide air transportation of passengers and/or cargo using aircraft, such as airplanes and helicopters. Included are scheduled air transportation and nonscheduled, i.e. chartered air transportation of passengers, cargo, or specialty flying services.",airlines-and-aviation,recblLdfMhbq7SDYL,,2023-02-24 10:28:27,2023-02-24 10:28:27,
Alternative Dispute Resolution,"This industry includes entities (except offices of lawyers, attorneys, and paralegals) that provide arbitration and conciliation services.",alternative-dispute-resolution,recVLP0DpkKzqjNTQ,,2023-02-16 15:33:40,,
Alternative Medicine,"This industry includes independent health practitioners (except physicians; dentists; chiropractors; optometrists; mental health specialists; physical, occupational, and speech therapists; audiologists; and podiatrists), acupuncturists (except medical or osteopathic doctors), hypnotherapists, homeopaths, and naturopaths. These practitioners operate private or group practices in their own offices or in the facilities of others (e.g., hospitals).",alternative-medicine,rec0ICgOliYxzl1Nd,,2023-02-16 15:33:40,,
Ambulance,"This industry includes entities that provide transportation of patients by ground or air, along with medical care.",ambulance,rec9D7foIDoB6pTa4,,2023-02-16 15:33:40,,
Amusement Parks and Arcades,This industry includes entities that operate amusement parks and amusement arcades and parlors.,amusement-parks-and-arcades,recXaiTBYebMIZ83v,,2023-02-16 15:33:40,,
Animal Feed Manufacturing,"This industry includes entities that manufacture food and feed for animals from ingredients, such as grains, oilseed mill products, and meat products.",animal-feed-manufacturing,rechfEsQ2O9ADcBvm,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Animals,,animals,rec1u9ArFrlt8trHc,,2023-02-16 15:33:40,,
Animation,This industry includes entities that produce and/or sell art made with a method in which figures are manipulated to appear as moving images.,animation,reclZz13DbFcmmdAu,,2023-02-16 15:33:40,,
Animation and Post-production,"This industry includes entities that provide specialized motion picture or video postproduction services, such as editing, film/tape transfers, subtitling, credits, closed captioning, and animation and special effects.",animation-and-post-production,reciJo9WiYfAg4N12,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Apparel and Fashion,"This industry includes entities that design, manufacture, and distribute clothing, apparels and cosmetics.",apparel-and-fashion,recDA7hZSKnqkhhFw,,2023-02-16 15:33:40,,
Apparel Manufacturing,,apparel-manufacturing,rec6fWbDsyw1EdkEA,,2023-02-27 08:39:16,2023-02-27 08:39:16,
"Appliances, Electrical, and Electronics Manufacturing",,appliances-electrical-and-electronics-manufacturing,recvNajtC4JtNdUIT,,2023-02-27 08:39:16,2023-02-27 08:39:17,
Architectural and Structural Metal Manufacturing,"This industry includes entities that manufacture one or more of the following:
1. Prefabricated metal buildings, panels and sections
2. Structural metal products
3. Metal plate work products
4. Metal framed windows (i.e., typically using purchased glass) and metal doors
5. Sheet metal work
6. Ornamental and architectural metal products.",architectural-and-structural-metal-manufacturing,rec66GyOkNQzWzIds,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Architecture and Planning,"This industry includes entities that plan and design residential, institutional, leisure, commercial, and industrial buildings and structures by applying knowledge of design, construction procedures, zoning regulations, building codes, and building materials.",architecture-and-planning,rec2OPAT2eNMZ25bc,,2023-02-16 15:33:40,,
Armed Forces,This industry includes government entities engaged in national security and related activities.,armed-forces,recwYfuMgPFUKohug,,2023-02-16 15:33:40,,
Artificial Rubber and Synthetic Fiber Manufacturing,"This industry includes entities that manufacture synthetic resins, plastics materials, and nonvulcanizable elastomers and mixing and blending resins; synthetic rubber; and cellulosic (e.g., rayon, acetate) and noncellulosic (e.g., nylon, polyolefin, polyester) fibers, including in the form of monofilament, filament yarn, staple, or tow.",artificial-rubber-and-synthetic-fiber-manufacturing,recqvpgY0ykP9zeiy,,2023-02-16 15:33:40,,
Artists and Writers,"This industry includes independent (i.e., freelance) individuals that perform in artistic productions, create artistic and cultural works, or provide technical expertise necessary for these productions.",artists-and-writers,rec0Opyp83wZgkHrQ,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Arts and Crafts,"This industry includes entities that participate in economic activities related to the creation of goods by artisans or skilled craftspeople or the design, development, manufacturing, and distribution of craft supplies.",arts-and-crafts,rec3rGg4kDpUj9OJA,,2023-02-16 15:33:40,,
Audio and Video Equipment Manufacturing,"This industry includes entities that manufacture electronic audio and video equipment for home entertainment, motor vehicles, and public address and musical instrument amplification.",audio-and-video-equipment-manufacturing,recNLpPNlSw8qKU07,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Automation Machinery Manufacturing,"This industry includes entities that use control systems for machinery, processes in factories, and human-machine interfaces with minimal or reduced human intervention. Control systems can be discrete, sequential, or computerized, and range in complexity from household temperature control to large industrial systems with multi-variable high-level algorithms. Artificial neural networks, motion control, and robotics are included.",automation-machinery-manufacturing,rec6q36KYoV33I1pt,,2023-02-16 15:33:40,,
Automotive,"This industry includes entities that participate in the design, development, manufacturing, marketing, and selling of motor vehicles.",automotive,reccaMB8eGojhrOgl,,2023-02-27 08:39:16,2023-02-27 08:39:16,
Aviation & Aerospace,"This industry includes entities that engage in the research, development, manufacture and sale of flight vehicles, major flight-vehicle subsystems such as propulsion and avionics and key support systems necessary for the testing, operation, and maintenance of flight vehicles.",aviation-and-aerospace,rec4FA6y328wz30HO,,2023-02-16 15:33:40,,
Aviation and Aerospace Component Manufacturing,"This industry includes entities that:
1. Manufacture complete aircraft, missiles, or space vehicles
2. Manufacture aerospace engines, propulsion units, auxiliary equipment or parts
3. Develop and make prototypes of aerospace products
4. Make major modifications to aircraft systems
5. Overhaul and rebuild complete aircraft or propulsion systems.",aviation-and-aerospace-component-manufacturing,recssjtFBhbKk3EYK,,2023-02-27 08:39:16,2023-02-27 08:39:17,
B2B,,b2b,rec1WWOlthMusLA69,,2023-02-24 10:28:27,2023-02-24 10:28:27,
B2C,,b2c,recTFBQp1S54V15QO,,2023-02-16 15:33:40,,
